Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Bldg. 9, RM205, Desk 15",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM205, Desk 16",,,1,"Bldg. 9, RM205",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210",,,0,"Bldg. 11, RM210",Room,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 1",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 2",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 3",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 4",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 5",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 6",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 7",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 8",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 9",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 10",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 11",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 12",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 13",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 14",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 11, RM210, Desk 15",,,0,"Bldg. 11, RM210",Desk,,,,,,,,,,,"lastName, firstName A."
"Muskegon CBOC, RM153",,,1,"Muskegon CBOC, RM153",Room,,,,,,,,,,,"lastName, firstName A."
